Title,Salutation,Surname,First Name,Other Names,Preferred Name,Initials,State,Political Party,Gender,Honorific,Parliament House Address,PO Box,Suburb,City,Postcode,Parliamentary Title
Senator,Senator,Kitching,Kimberley,,Kimberley,K.,VIC,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Lambie,Jacqui,,Jacqui,J.,TAS,JLN,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Lines,Susan,,Sue,S.,WA,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Deputy President, Chair of Committees"
Senator,Senator,McAllister,Jennifer,Ryll,Jenny,J.R.,NSW,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,McCarthy,Malarndirri,,Malarndirri,M.,NT,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Deputy Opposition Whip in the Senate
Senator,Senator,McDonald,Susan,Eileen,Susan,S.M.,QLD,Nats,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,McGrath,James,,James,J.,QLD,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Deputy Government Whip in the Senate
Senator the Hon,Senator,McKenzie,Bridget,,Bridget,B.,VIC,Nats,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Leader of The Nationals, Minister for Agriculture"
Senator,Senator,McKim,Nicholas,James,Nick,N.J.,TAS,AG,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,McMahon,Samantha,Jane,Sam,S.J.,NT,CLP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,O'Neill,Deborah,,Deborah,D.,NSW,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,O'Sullivan,Matthew,Anthony,Matt,A.M.,WA,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Paterson,James,,James,J.,VIC,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Patrick,Rex,Lyall,Rex,R.L.,SA,CA,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Payne,Marise,Ann,Marise,M. A.,NSW,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Minister for Foreign Affairs, Minister for Women"
Senator,Senator,Polley,Helen,,Helen,H.,TAS,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Pratt,Louise,Clare,Louise,L.C.,WA,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Rennick,Gerard,,Gerard,G.,QLD,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Reynolds,Linda,Karen,Linda,L.K.,WA,LP,FEMALE,CSC,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Minister for Defence
Senator,Senator,Rice,Janet,Elizabeth,Janet,J.E.,VIC,AG,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Roberts,Malcolm,Ieuan,Malcolm,M.I.,QLD,PHON,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Ruston,Anne,,Anne,A.,SA,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Minister for Families and Social Services, Manager of Government Business in the Senate"
Senator the Hon,Senator,Ryan,Scott,Michael,Scott,S.M.,VIC,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,President of the Senate
Senator,Senator,Scarr,Paul,Martin,Paul,P.M.,QLD,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Seselja,Zdenko,Matthew,Zed,Z. M.,ACT,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Assistant Minister for Finance, Charities and Electoral Matters"
Senator,Senator,Sheldon,Anthony,Vincent,Tony,A.V.,NSW,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Siewert,Rachel,,Rachel,R.,WA,AG,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Australian Greens Whip
Senator the Hon,Senator,Sinodinos,Arthur,,Arthur,A,NSW,LP,MALE,AO,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Smith,Marielle,Feuerherdt,Marielle,M.F.,SA,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Smith,Dean,Anthony,Dean,D. A.,WA,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Chief Government Whip in the Senate
Senator,Senator,Steele-John,Jordon,Alexander,Jordon,J.A.,WA,AG,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Sterle,Glenn,,Glenn,G.,WA,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Stoker,Amanda,Jane,Amanda,A.J.,QLD,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Urquhart,Anne,Elizabeth,Anne,A. E.,TAS,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Opposition Whip in the Senate
Senator,Senator,Van,David,Allan,David,D.A.,VIC,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Walsh,Jess,Cecille,Jess,J.C.,VIC,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Waters,Larissa,Joy,Larissa,L. J.,QLD,AG,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Watt,Murray,Patrick,Murray,M.P.,QLD,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Whish-Wilson,Peter,Stuart,Peter,P. S.,TAS,AG,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Wong,Penny,,Penny,P.,SA,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Leader of the Opposition in the Senate
